CST-IBS/CBS;Descrição CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descrição cClassTrib;LC Redação;LC 214/25;Tipo de Alíquota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualização;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
011;Tributação com alíquotas uniformes reduzidas em 30%;011005;Planos de assistência à saúde de animais domésticos;Planos de assistência à saúde de animais domésticos, observado o art. 243 da Lei Complementar nº 214, de 2025.;Art. 243. Os planos de assistência à saúde de animais domésticos ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar, com exceção das alíquotas aplicáveis, que serão nacionalmente uniformes e corresponderão à soma das alíquotas de referência de cada esfera federativa, reduzidas em 30% (trinta por cento), vedado o crédito ao adquirente.;Art. 243;Uniforme nacional (referência);30;30;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art243
200;Alíquota zero;200001;Aquisições realizadas entre empresas autorizadas a operar em zonas de processamento de exportação;Aquisições de máquinas, de aparelhos, de instrumentos, de equipamentos, de matérias-primas, de produtos intermediários e de materiais de embalagem realizadas entre empresas autorizadas a operar em zonas de processamento de exportação, observado o art. 103 da Lei Complementar nº 214, de 2025.;"Art. 103. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre os serviços de transporte:
 I - dos bens de que tratam os arts. 99 e 100 desta Lei Complementar, até as zonas de processamento de exportação; e
 II - dos bens exportados a partir das zonas de processamento de exportação.";Art. 103;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art103
200;Alíquota zero;200002;Fornecimento ou importação para produtor rural não contribuinte ou TAC;Fornecimento ou importação de tratores, máquinas e implementos agrícolas, destinados a produtor rural não contribuinte, e de veículos de transporte de carga destinados a transportador autônomo de carga pessoa física não contribuinte, observado o art. 110 da Lei Complementar nº 214, de 2025.;"Art. 110. Ficam reduzidas a zero as alíquotas do IBS e da CBS no fornecimento e na importação: 
 I - de tratores, máquinas e implementos agrícolas, destinados a produtor rural não contribuinte de que trata o art. 164; e 
 II - de veículos de transporte de carga destinados a transportador autônomo de carga pessoa física não contribuinte de que trata o art. 169.";Art. 110;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art110
200;Alíquota zero;200003;Vendas de produtos destinados à alimentação humana (Anexo I);Vendas de produtos destinados à alimentação humana relacionados no Anexo I da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, que compõem a Cesta Básica Nacional de Alimentos, criada nos termos do art. 8º da Emenda Constitucional nº 132, de 20 de dezembro de 2023, observado o art. 125 da Lei Complementar nº 214, de 2025.;Art. 125. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre as vendas de produtos destinados à alimentação humana relacionados no Anexo I desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH, que compõem a Cesta Básica Nacional de Alimentos, criada nos termos do art. 8º da Emenda Constitucional nº 132, de 20 de dezembro de 2023.;Art. 125;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art125
200;Alíquota zero;200004;Venda de dispositivos médicos (Anexo XII);Venda de dispositivos médicos com a especificação das respectivas classificações da NCM/SH previstas no Anexo XII da Lei Complementar nº 214, de 2025, observado o art. 144 da Lei Complementar nº 214, de 2025.;"Art. 144. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos dispositivos médicos relacionados: no Anexo XII desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH; e";Art. 144, I;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;12;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art144
200;Alíquota zero;200005;Venda de dispositivos médicos adquiridos por órgãos da administração pública (Anexo IV);Venda de dispositivos médicos com a especificação das respectivas classificações da NCM/SH previstas no Anexo IV da Lei Complementar nº 214, de 2025, quando adquiridos por órgãos da administração pública direta, autarquias e fundações públicas, observado o art. 144 da Lei Complementar nº 214, de 2025.;"Art. 144. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos dispositivos médicos relacionados:
 II - no Anexo IV desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH, caso adquiridos por: a) órgãos da administração pública direta, autarquias e fundações públicas; e 
 b) as entidades de saúde imunes ao IBS e à CBS que possuam Certificação de Entidade Beneficente de Assistência Social (CEBAS) por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021.";Art. 144, II;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art144
200;Alíquota zero;200006;Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XII);Situação de emergência de saúde pública reconhecida pelo Poder Legislativo federal, estadual, distrital ou municipal competente, ato conjunto do Ministro da Fazenda e do Comitê Gestor do IBS poderá ser editado, a qualquer momento, para incluir dispositivos não listados no Anexo XII da Lei Complementar nº 214, de 2025, limitada a vigência do benefício ao período e à localidade da emergência de saúde pública, observado o art. 144 da Lei Complementar nº 214, de 2025.;"Art. 144. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos dispositivos médicos relacionados:
 § 3º Em caso de emergência de saúde pública reconhecida pelo Poder Legislativo federal, estadual, distrital ou municipal competente, ato conjunto do Ministro de Estado da Fazenda e do Comitê Gestor do IBS poderá ser editado, a qualquer momento, para incluir dispositivos não listados no Anexo XII desta Lei Complementar, limitada a vigência do benefício ao período e à localidade da emergência de saúde pública.";Art. 144, § 3º;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art144
200;Alíquota zero;200007;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII);Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados no Anexo XIII da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 145 da Lei Complementar nº 214, de 2025.;"Art. 145. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados: 
 I - no Anexo XIII desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH; e";Art. 145, I;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;13;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art145
200;Alíquota zero;200008;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V);Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados no Anexo V da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, quando adquiridos por órgãos da administração pública direta, autarquias, fundações públicas e entidades imunes, observado o art. 145 da Lei Complementar nº 214, de 2025.;"Art. 145. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência relacionados: II - no Anexo V desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH, quando adquiridos por: a) órgãos da administração pública direta, autarquias e fundações públicas; e b) as entidades de saúde imunes ao IBS e à CBS que possuam CEBAS por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 2021.";Art. 145, II;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;5;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art145
200;Alíquota zero;200009;Fornecimento de medicamentos (Anexo XIV);Fornecimento dos medicamentos relacionados no Anexo XIV da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, observado o art. 146 da Lei Complementar nº 214, de 2025.;Art. 146. Ficam reduzidas a zero as alíquotas do IBS e da CBS sobre o fornecimento dos medicamentos relacionados no Anexo XIV desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH.;Art. 146;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art146
