CST-IBS/CBS;Descriá∆o CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descriá∆o cClassTrib;LC Redaá∆o;LC 214/25;Tipo de Al°quota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualizaá∆o;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
550;Suspens∆o;550015;Regime Tribut†rio para Incentivo Ö Modernizaá∆o e Ö Ampliaá∆o da Estrutura Portu†ria;Regime Tribut†rio para Incentivo Ö Modernizaá∆o e Ö Ampliaá∆o da Estrutura Portu†ria - Reporto, observado o art. 105 da Lei Complementar nß 214, de 2025.;Art. 105. Observada a disciplina estabelecida na legislaá∆o espec°fica, ser∆o efetuadas com suspens∆o do pagamento do IBS e da CBS as importaá‰es e as aquisiá‰es no mercado interno de m†quinas, equipamentos, peáas de reposiá∆o e outros bens realizadas diretamente pelos benefici†rios do Regime Tribut†rio para Incentivo Ö Modernizaá∆o e Ö Ampliaá∆o da Estrutura Portu†ria (Reporto) e destinadas ao seu ativo imobilizado para utilizaá∆o exclusiva na execuá∆o de serviáos de:;Art. 105;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art105
550;Suspens∆o;550016;Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura;Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura - Reidi, observado o art. 106 da Lei Complementar nß 214, de 2025.;Art. 106. Observada a disciplina estabelecida na legislaá∆o espec°fica, ser∆o efetuadas com suspens∆o do pagamento do IBS e da CBS as importaá‰es e as aquisiá‰es no mercado interno de m†quinas, aparelhos, instrumentos e equipamentos, novos, e de materiais de construá∆o, realizadas diretamente pelos benefici†rios do Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura (Reidi) para utilizaá∆o ou incorporaá∆o em obras de infraestrutura destinadas ao ativo imobilizado.;Art. 106;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art106
550;Suspens∆o;550017;Regime Tribut†rio para Incentivo Ö Atividade Econìmica Naval;Regime Tribut†rio para Incentivo Ö Atividade Econìmica Naval ? Renaval, observado o art. 107 da Lei Complementar nß 214, de 2025.;Art. 107. O Regime Tribut†rio para Incentivo Ö Atividade Econìmica Naval ? Renaval permite aos benefici†rios previamente habilitados suspens∆o do pagamento de IBS e CBS:;Art. 107;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art107
550;Suspens∆o;550018;Desoneraá∆o da aquisiá∆o de bens de capital;Desoneraá∆o da aquisiá∆o de bens de capital, observado o art. 109 da Lei Complementar nß 214, de 2025.;Art. 109. Ato conjunto do Poder Executivo da Uni∆o e do Comità Gestor do IBS poder† definir hip¢teses em que importaá‰es e aquisiá‰es no mercado interno de bens de capital por contribuinte no regime regular ser∆o realizadas com suspens∆o do pagamento do IBS e da CBS, n∆o se aplicando o disposto no art. 108 desta Lei Complementar.;Art. 109;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art109
550;Suspens∆o;550019;Importaá∆o de bem material por ind£stria incentivada para utilizaá∆o na ZFM;Importaá∆o de bem material por ind£stria incentivada para utilizaá∆o na Zona Franca de Manaus, observado o art. 443 da Lei Complementar nß 214, de 2025.;Art. 443. Fica suspensa a incidància do IBS e da CBS na importaá∆o de bem material realizada por ind£stria incentivada para utilizaá∆o na Zona Franca de Manaus.;Art. 443;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art443
550;Suspens∆o;550020;µreas de livre comÇrcio;µreas de livre comÇrcio, observado o art. 461 da Lei Complementar nß 214, de 2025.;Art. 461. Fica suspensa a incidància do IBS e da CBS na importaá∆o de bem material realizada por ind£stria habilitada na forma do inciso II do caput do art. 460 desta Lei Complementar e sujeita ao regime regular do IBS e da CBS para incorporaá∆o em seu processo produtivo.;Art. 461;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art461
550;Suspens∆o;550021;Industrializaá∆o destinada a exportaá‰es;Fornecimento de produtos agropecu†rios in natura para contribuinte do regime regular que promova industrializaá∆o destinada a exportaá∆o, observado o art. 82 da Lei Complementar nß 214, de 2025.;"Art. 82.
 ı 11. TambÇm fica suspenso o pagamento do IBS e da CBS no fornecimento de produtos agropecu†rios in natura para contribuinte do regime regular que promova industrializaá∆o destinada a exportaá∆o para o exterior:";Art. 82, ı 11;Sem al°quota;0;0;1;0;0;0;0;0;0;01/01/2026;;03/10/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art82
620;Tributaá∆o monof†sica;620001;Tributaá∆o monof†sica sobre combust°veis;Tributaá∆o monof†sica sobre combust°veis, observados os art. 172 e art. 179 I da Lei Complementar nß 214, de 2025.;"Art. 172. O IBS e a CBS incidir∆o uma £nica vez sobre as operaá‰es, ainda que iniciadas no exterior, com os seguintes combust°veis, qualquer que seja a sua finalidade.
 Art. 179. Nas operaá‰es com EAC: I - o adquirente de EAC destinado Ö mistura com gasolina A que realizar a sa°da dos biocombust°veis com destinaá∆o diversa fica obrigado a recolher o IBS e a CBS incidentes sobre o biocombust°vel;";Art. 172, 179 I;Uniforme setorial;0;0;0;0;1;0;0;0;0;01/01/2026;;19/11/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art172
620;Tributaá∆o monof†sica;620002;Tributaá∆o monof†sica com responsabilidade pela retená∆o sobre combust°veis;Tributaá∆o monof†sica com responsabilidade pela retená∆o sobre combust°veis, observado o art. 178 da Lei Complementar nß 214, de 2025.;Art. 178. Fica atribu°da Ö refinaria de petr¢leo ou suas bases, Ö CPQ, ao formulador de combust°veis e ao importador, relativamente ao percentual de biocombust°vel utilizado na mistura, nas operaá‰es com gasolina A, a responsabilidade pela retená∆o e pelo recolhimento do IBS e da CBS incidentes nas importaá‰es de EAC ou sobre as sa°das do estabelecimento produtor de EAC.;Art. 178;Uniforme setorial;0;0;0;0;1;1;0;0;0;01/01/2026;;11/06/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art178
620;Tributaá∆o monof†sica;620003;Tributaá∆o monof†sica com tributos retidos por responsabilidade sobre combust°veis;Tributaá∆o monof†sica com tributos retidos por responsabilidade sobre combust°veis, observado o art. 178 da Lei Complementar nß 214, de 2025.;Art. 178. Fica atribu°da Ö refinaria de petr¢leo ou suas bases, Ö CPQ, ao formulador de combust°veis e ao importador, relativamente ao percentual de biocombust°vel utilizado na mistura, nas operaá‰es com gasolina A, a responsabilidade pela retená∆o e pelo recolhimento do IBS e da CBS incidentes nas importaá‰es de EAC ou sobre as sa°das do estabelecimento produtor de EAC.;Art. 178;Uniforme setorial;0;0;0;0;1;0;0;1;0;01/01/2026;;11/06/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art178
