171,"",1.00,48400.00,0.00,48400.00
593,"",1.00,42903.19,0.00,42903.19
596,"",1.00,70112.61,0.00,70112.61
597,"",1.00,57376.00,0.00,57376.00
164,"",1.00,86240.00,0.00,86240.00
599,"",111.67,18.64,0.00,2081.99
600,"",780.25,6.12,0.00,4775.94
601,"",1.00,619.79,0.00,619.79
305,"",190.84,72.66,0.00,13865.90
580,"",13.15,7.25,0.00,95.39
517,"",2.91,223.63,0.00,650.33
518,"",3.35,216.40,0.00,724.06
519,"",20.35,212.81,0.00,4330.65
270,"",38.57,84.86,0.00,3273.13
323,"",51.15,69.46,0.00,3552.85
255,"",51.41,69.75,0.00,3586.15
334,"",20.98,17.57,0.00,368.60
222,"",27.33,0.01,0.00,0.27
229,"",5.62,35.04,0.00,196.95
231,"",34.96,0.02,0.00,0.59
235,"",16.29,23.18,0.00,377.62
241,"",10.27,23.78,0.00,244.23
251,"",18.82,20.98,0.00,394.78
263,"",13.68,19.03,0.00,260.34
278,"",24.17,37.46,0.00,905.45
293,"",20.76,49.23,0.00,1021.91
303,"",43.78,47.26,0.00,2069.27
306,"",27.94,20.21,0.00,564.70
312,"",0.98,0.46,0.00,0.45
317,"",13.13,32.48,0.00,426.58
320,"",59.16,54.04,0.00,3196.87
348,"",21.27,18.84,0.00,400.86
357,"",2.97,1034.46,0.00,3071.31
363,"",3.89,0.00,0.00,0.00
366,"",6.13,20.60,0.00,126.23
321,"",108.68,55.03,0.00,5980.79
343,"",222.26,56.33,0.00,12519.57
325,"",25.66,24.39,0.00,625.74
326,"",9.53,31.91,0.00,304.13
331,"",168.85,59.40,0.00,10029.51
345,"",83.08,52.76,0.00,4383.12
346,"",218.58,59.59,0.00,13025.15
350,"",23.91,22.29,0.00,533.12
338,"",380.16,62.00,0.00,23570.14
353,"",108.79,55.68,0.00,6057.80
355,"",282.45,60.75,0.00,17158.82
273,"",27.83,48.74,0.00,1356.50
285,"",204.97,70.27,0.00,14403.14
213,"",14.43,104.70,0.00,1510.73
219,"",12.99,58.55,0.00,760.59
228,"",8.24,54.65,0.00,450.32
238,"",4.49,18.65,0.00,83.65
254,"",107.20,75.32,0.00,8074.56
341,"",59.37,68.59,0.00,4072.24
256,"",62.10,60.30,0.00,3744.56
333,"",131.28,67.84,0.00,8905.48
221,"",20.22,77.56,0.00,1568.64
225,"",3.09,59.49,0.00,183.60
232,"",52.21,0.01,0.00,0.48
240,"",20.49,73.67,0.00,1509.55
244,"",32.25,72.69,0.00,2344.42
245,"",7.93,69.44,0.00,550.86
246,"",34.86,22.58,0.00,787.13
259,"",0.31,25.31,0.00,7.87
260,"",173.60,82.84,0.00,14381.04
262,"",158.63,71.37,0.00,11320.82
266,"",19.95,85.79,0.00,1711.78
269,"",48.21,74.37,0.00,3584.99
271,"",15.54,80.25,0.00,1247.29
277,"",64.67,69.61,0.00,4501.32
281,"",101.50,54.33,0.00,5514.62
284,"",162.73,76.71,0.00,12483.07
287,"",120.24,77.28,0.00,9292.54
292,"",93.12,74.21,0.00,6910.68
302,"",379.51,74.10,0.00,28121.44
311,"",46.29,86.55,0.00,4006.65
313,"",84.26,65.88,0.00,5551.14
316,"",152.15,70.87,0.00,10783.24
318,"",299.62,67.06,0.00,20091.24
319,"",1.72,0.00,0.00,0.00
328,"",315.74,68.12,0.00,21507.58
329,"",112.38,63.52,0.00,7138.06
330,"",96.11,68.40,0.00,6573.85
337,"",256.91,70.20,0.00,18035.42
340,"",118.77,64.65,0.00,7678.33
344,"",175.09,66.60,0.00,11660.77
349,"",140.47,64.81,0.00,9103.99
351,"",2.79,23.27,0.00,64.96
352,"",45.87,66.96,0.00,3071.32
356,"",167.20,65.38,0.00,10931.86
359,"",245.40,63.25,0.00,15521.61
360,"",147.23,67.32,0.00,9911.87
361,"",171.95,69.83,0.00,12006.62
362,"",0.77,186.11,0.00,143.86
365,"",0.68,13.76,0.00,9.29
374,"",2.64,0.00,0.00,0.00
226,"",8.20,28.64,0.00,234.76
296,"",224.19,70.94,0.00,15904.76
211,"",5.39,0.00,0.00,0.00
368,"",0.40,17.35,0.00,6.94
204,"",0.95,58.62,0.00,55.45
209,"",6.09,41.90,0.00,255.28
217,"",0.14,0.00,0.00,0.00
220,"",1.14,3276.07,0.00,3744.55
272,"",50.96,61.08,0.00,3112.57
290,"",91.34,76.12,0.00,6953.38
206,"",17.20,48.96,0.00,842.01
298,"",245.99,71.23,0.00,17521.96
581,"",23.74,11.45,0.00,271.78
579,"",15.94,10.91,0.00,173.97
582,"",137.92,25.84,0.00,3563.24
190,"",2.37,854.80,0.00,2027.58
201,"",1.23,158.46,0.00,195.06
205,"",10.54,270.16,0.00,2848.83
212,"",1.54,145.35,0.00,223.25
188,"",4.35,1523.30,0.00,6626.35
194,"",14.78,306.39,0.00,4527.83
267,"",28.34,77.53,0.00,2197.15
276,"",9.60,63.04,0.00,605.24
274,"",1.33,33.65,0.00,44.62
283,"",67.55,78.45,0.00,5299.30
288,"",24.23,79.07,0.00,1915.48
291,"",27.46,70.70,0.00,1941.35
295,"",16.18,62.36,0.00,1009.30
294,"",14.87,24.52,0.00,364.61
299,"",80.10,78.84,0.00,6315.00
304,"",31.72,130.59,0.00,4142.00
324,"",23.51,69.63,0.00,1636.79
367,"",29.80,79.26,0.00,2361.94
369,"",197.51,96.46,0.00,19051.24
371,"",310.55,86.55,0.00,26878.36
376,"",2.01,0.00,0.00,0.00
378,"",15.19,80.70,0.00,1225.46
286,"",7.27,81.26,0.00,590.94
314,"",77.23,94.02,0.00,7260.87
388,"",19.80,41.03,0.00,812.36
310,"",80.93,111.23,0.00,9001.39
227,"",0.97,0.00,0.00,0.00
230,"",1.57,0.00,0.00,0.00
358,"",3.38,0.00,0.00,0.00
393,"",4.30,0.00,0.00,0.00
412,"",7.59,0.00,0.00,0.00
187,"",1.85,1443.80,0.00,2675.36
197,"",4.18,314.58,0.00,1314.31
203,"",0.55,0.04,0.00,0.02
207,"",0.91,127.84,0.00,116.72
208,"",2.93,0.00,0.00,0.00
210,"",7.64,133.79,0.00,1021.88
214,"",14.20,444.74,0.00,6314.86
218,"",4.26,1482.70,0.00,6314.81
223,"",12.21,517.22,0.00,6314.73
234,"",0.76,0.00,0.00,0.00
237,"",31.47,6.36,0.00,200.17
239,"",5.90,0.00,0.00,0.00
249,"",43.58,0.00,0.00,0.00
247,"",5.95,0.00,0.00,0.00
252,"",63.88,0.02,0.00,1.21
257,"",1.51,51.20,0.00,77.31
264,"",20.32,0.00,0.00,0.00
268,"",3.39,0.00,0.00,0.00
275,"",18.60,82.16,0.00,1528.25
279,"",0.26,0.00,0.00,0.00
322,"",0.44,0.00,0.00,0.00
336,"",37.47,87.12,0.00,3264.38
199,"",7.16,343.79,0.00,2459.81
372,"",42.23,63.62,0.00,2687.14
373,"",113.76,85.09,0.00,9680.02
426,"",3.50,0.00,0.00,0.00
427,"",47.45,0.00,0.00,0.00
183,"",0.10,3101.20,0.00,310.12
184,"",0.09,1651.11,0.00,148.60
189,"",5.10,477.65,0.00,2437.94
192,"",1.53,377.67,0.00,576.32
202,"",0.01,0.00,0.00,0.00
233,"",9.94,0.00,0.00,0.00
242,"",3.68,129.59,0.00,476.63
243,"",49.57,0.00,0.00,0.00
248,"",4.73,187.49,0.00,886.84
282,"",0.85,114.42,0.00,97.83
315,"",3.89,118.23,0.00,459.93
370,"",17.61,135.35,0.00,2383.45
425,"",4.90,0.00,0.00,0.00
590,"",351.90,1.23,0.00,432.44
592,"",381.36,5.58,0.00,2126.94
584,"",27679.48,7.43,0.00,205550.32
585,"",615.90,8.42,0.00,5188.63
586,"",422.55,8.19,0.00,3461.19
587,"",393.00,8.21,0.00,3227.03
588,"",3431.00,8.13,0.00,27903.78
623,"",1728.85,10.07,0.00,17412.46
200,"",1501.55,20.46,0.00,30714.40
520,"",4478.00,27.18,0.00,121729.76
598,"",3259.13,31.27,0.00,101907.17
289,"",578.00,28.52,0.00,16483.76
185,"",64.30,70.69,0.00,4545.43
265,"",3.42,0.00,0.00,0.00
195,"",143.72,75.56,0.00,10858.78
