1082514282000100250234947     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48322491792020010120200131331
11RUA ESTEVES JUNIOR                00001                      CENTRO         88015130NOME DO CONTADOR            004832249179
5000008878244988ISENTO        20200103SC552  0099481201P000000001199000000000000000000000000000000000000000000000000119900000N
5082514282000290255918461     20200103SC552  0099475151P000000001070600000000000000000000000000000000000000000000000107061700N
5082514282000290255918461     20200104SC552  0058361152T000000000830000000000000000000000000000000000000000000000000083000000N
5082514282000290255918461     20200104SC552  0058371152T000000000512900000000000000000000000000000000000000000000000051290000N
5082514282000371258508205     20200106SC551  0022301152T000000047821800000000000000000000000000000000000000000000004782180000N
5082514282000371258508205     20200106SC551  0022311152T000000020256000000000000000000000000000000000000000000000002025600000N
5082514282000290255918461     20200106SC552  0058421152T000000000608000000000000000000000000000000000000000000000000060800000N
5082514282000290255918461     20200106SC552  0058401152T000000000344200000000000000000000000000000000000000000000000034420000N
5082514282000290255918461     20200106SC552  0058391152T000000000897600000000000000000000000000000000000000000000000089760000N
5000022265147087ISENTO        20200106SC552  0099525101P000000001632200000000000000000000000000000000000000000000000163221700N
5082514282000371258508205     20200106SC552  0099495151P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000371258508205     20200106SC552  0099515151P000000000524500000000000000000000000000000000000000000000000052451700N
5082514282000290255918461     20200106SC552  0099535151P000000000692400000000000000000000000000000000000000000000000069241700N
5082514282000371258508205     20200106SC552  0099505151P000000000229500000000000000000000000000000000000000000000000022951700N
5082514282000290255918461     20200107SC552  0058431152T000000000249500000000000000000000000000000000000000000000000024950000N
5082514282000290255918461     20200107SC552  0058441152T000000000499000000000000000000000000000000000000000000000000049900000N
5082514282000371258508205     20200107SC551  0022341152T000000063379900000000000000000000000000000000000000000000006337990000N
5081574071000108253941695     20200107SC552  0099545101P000000001500200000000000000000000000000000000000000000000000150021200N
5081574071000108253941695     20200107SC552  0099545101P000000006789800000000000000000000000000000000000000000000000678981700N
5007700908000157255088442     20200107SC552  0099555101P000000002407000000000000000000000000000000000000000000000000240701700N
5082514282000290255918461     20200107SC552  0099565151P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000371258508205     20200107SC552  0099575151P000000000309000000000000000000000000000000000000000000000000030901700N
5082514282000371258508205     20200108SC551  0022401152T000000004789800000000000000000000000000000000000000000000000478980000N
5082514282000371258508205     20200108SC551  0022371152T000000023370000000000000000000000000000000000000000000000002337000000N
5082514282000371258508205     20200108SC551  0022381152T000000029891000000000000000000000000000000000000000000000002989100000N
5000063764679972ISENTO        20200108SC552  0099605101P000000002006600000000000000000000000000000000000000000000000200661700N
5082514282000290255918461     20200108SC552  0099595151P000000001329600000000000000000000000000000000000000000000000132961700N
5082514282000371258508205     20200108SC552  0099585151P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000290255918461     20200108SC552  0099615151P000000001969000000000000000000000000000000000000000000000000196901700N
5082514282000371258508205     20200108SC552  0099625151P000000000847000000000000000000000000000000000000000000000000084701700N
5082514282000371258508205     20200109SC551  0022421152T000000002727000000000000000000000000000000000000000000000000272700000N
5082514282000290255918461     20200109SC552  0058501152T000000000549000000000000000000000000000000000000000000000000054900000N
5082514282000290255918461     20200109SC552  0099645151P000000001507100000000000000000000000000000000000000000000000150711700N
5082514282000371258508205     20200109SC552  0099635151P000000000119500000000000000000000000000000000000000000000000011951700N
5082514282000290255918461     20200110SC552  0058541152T000000001278400000000000000000000000000000000000000000000000127840000N
5082514282000371258508205     20200110SC551  0022431152T000000024994100000000000000000000000000000000000000000000002499410000N
5082514282000371258508205     20200110SC551  0022451152T000000001091400000000000000000000000000000000000000000000000109140000N
5082514282000290255918461     20200110SC552  0058551152T000000000697500000000000000000000000000000000000000000000000069750000N
5082514282000371258508205     20200110SC551  0022361152T000000000211000000000000000000000000000000000000000000000000021100000N
5082514282000290255918461     20200110SC552  0058581152T000000001677300000000000000000000000000000000000000000000000167730000N
5082514282000290255918461     20200110SC552  0058571152T000000001815000000000000000000000000000000000000000000000000181500000N
5011326843000107256056463     20200110SC552  0099655101P000000000799000000000000000000000000000000000000000000000000079901200N
5011326843000107256056463     20200110SC552  0099655101P000000004021000000000000000000000000000000000000000000000000402101700N
5082514282000290255918461     20200110SC552  0099675151P000000000916900000000000000000000000000000000000000000000000091691700N
5000041739264991ISENTO        20200110SC552  0099665910P000000005097000000000000000000000000000000000000000000000000509701200N
5082514282000371258508205     20200113SC551  0022461152T000000011297100000000000000000000000000000000000000000000001129710000N
5082514282000371258508205     20200113SC551  0022481152T000000007797600000000000000000000000000000000000000000000000779760000N
5000058452001053ISENTO        20200113SC552  0099681201P000000001049000000000000000000000000000000000000000000000000104900000N
5000009766751617ISENTO        20200113SC552  0099691201P000000001299000000000000000000000000000000000000000000000000129900000N
5000022265147087ISENTO        20200114SC552  0099701201P000000001398000000000000000000000000000000000000000000000000139800000N
5000044937164953ISENTO        20200114SC552  0099711201P000000000195000000000000000000000000000000000000000000000000019500000N
5082514282000290255918461     20200114SC552  0099725151P000000000792400000000000000000000000000000000000000000000000079241700N
5082514282000371258508205     20200115SC551  0022561152T000000143929000000000000000000000000000000000000000000000014392900000N
5082514282000290255918461     20200115SC552  0058661152T000000000202100000000000000000000000000000000000000000000000020210000N
5082514282000371258508205     20200115SC551  0022591152T000000003191100000000000000000000000000000000000000000000000319110000N
5082514282000290255918461     20200115SC552  0058601152T000000001198500000000000000000000000000000000000000000000000119850000N
5082514282000371258508205     20200115SC551  0022501152T000000009321800000000000000000000000000000000000000000000000932180000N
5082514282000371258508205     20200115SC551  0022521152T000000005476300000000000000000000000000000000000000000000000547630000N
5082514282000371258508205     20200115SC551  0022541152T000000000189800000000000000000000000000000000000000000000000018980000N
5082514282000371258508205     20200115SC551  0022601152T000000000405700000000000000000000000000000000000000000000000040570000N
5082514282000371258508205     20200115SC551  0022331152T000000004496400000000000000000000000000000000000000000000000449640000N
5082514282000290255918461     20200115SC552  0058691152T000000000621400000000000000000000000000000000000000000000000062140000N
5082514282000290255918461     20200115SC552  0058671152T000000001334800000000000000000000000000000000000000000000000133480000N
5000002242056921ISENTO        20200115SC552  0099731201P000000000549000000000000000000000000000000000000000000000000054900000N
5000001154425029ISENTO        20200115SC552  0099761201P000000000709000000000000000000000000000000000000000000000000070900000N
5000003300516951ISENTO        20200115SC552  0099771201P000000000499000000000000000000000000000000000000000000000000049900000N
5000005935159945ISENTO        20200115SC552  0099781201P000000000429000000000000000000000000000000000000000000000000042900000N
5000074477943334ISENTO        20200115SC552  0099831201P000000002437000000000000000000000000000000000000000000000000243700000N
5000004646327902ISENTO        20200115SC552  0099845101P000000001049000000000000000000000000000000000000000000000000104901700N
5082514282000290255918461     20200115SC552  0099815151P000000002174000000000000000000000000000000000000000000000000217401700N
5082514282000290255918461     20200115SC552  0099795151P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000290255918461     20200115SC552  0099805151P000000000982500000000000000000000000000000000000000000000000098251700N
5082514282000290255918461     20200115SC552  0099825151P000000004345000000000000000000000000000000000000000000000000434501700N
5000002336700921ISENTO        20200115SC552  0099855929P000000005118400000000000000000000000000000000000000000000000511841700N
5033402939000131ISENTO        20200115ES552  0099756108P000000000000000000000000000000000000000000000000000000000000000000700S
5033402939000131ISENTO        20200115ES552  0099746108P000000000000000000000000000000000000000000000000000000000000000000700S
5082514282000290255918461     20200116SC552  0058701152T000000000551000000000000000000000000000000000000000000000000055100000N
5082514282000290255918461     20200116SC552  0058681152T000000000199500000000000000000000000000000000000000000000000019950000N
5082514282000290255918461     20200116SC552  0058711152T000000000363400000000000000000000000000000000000000000000000036340000N
5082514282000290255918461     20200116SC552  0058731152T000000000940400000000000000000000000000000000000000000000000094040000N
5082514282000290255918461     20200116SC552  0058651152T000000000349000000000000000000000000000000000000000000000000034900000N
5082514282000290255918461     20200116SC552  0058611152T000000004861400000000000000000000000000000000000000000000000486140000N
5082514282000290255918461     20200116SC552  0058761152T000000000891000000000000000000000000000000000000000000000000089100000N
5082514282000371258508205     20200116SC551  0022511152T000000001261600000000000000000000000000000000000000000000000126160000N
5082514282000371258508205     20200116SC551  0022411152T000000025013400000000000000000000000000000000000000000000002501340000N
5000007026846949ISENTO        20200116SC552  0099871201P000000002515000000000000000000000000000000000000000000000000251500000N
5000000122977041ISENTO        20200116SC552  0099911201P000000000499000000000000000000000000000000000000000000000000049900000N
5000002336700921ISENTO        20200116SC552  0099931201P000000002635000000000000000000000000000000000000000000000000263500000N
5000002687966967ISENTO        20200116SC552  0099941201P000000000439000000000000000000000000000000000000000000000000043900000N
5002293893000136253647240     20200116SC552  0099985101P000000021004000000000000000000000000000000000000000000000002100401700N
