1082514282000100250234947     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48322491792018070120180731331
11RUA ESTEVES JUNIOR                00001                      CENTRO         88015130NOME DO CONTADOR            004832249179
5082514282000371258508205     20180702SC551  0005441152T000000002776500000000000000000000000000000000000000000000000277650000N
5022017228000127257599983     20180702SC552  0079965101P000000005355000000000000000000000000000000000000000000000000535501700N
5007700908000157255088442     20180702SC552  0079955101P000000001347000000000000000000000000000000000000000000000000134701700N
5020444946000154257393820     20180702SC552  0079975101P000000007895500000000000000000000000000000000000000000000000789551700N
5082514282000290255918461     20180702SC552  0079995151P000000004866900000000000000000000000000000000000000000000000486691700N
5082514282000290255918461     20180702SC552  0079985152P000000000184500000000000000000000000000000000000000000000000018451200N
5082514282000290255918461     20180703SC552  0041441152T000000002693900000000000000000000000000000000000000000000000269390000N
5082514282000290255918461     20180703SC552  0041451152T000000000615500000000000000000000000000000000000000000000000061550000N
5082514282000290255918461     20180703SC552  0041431152T000000026199200000000000000000000000000000000000000000000002619920000N
5082514282000371258508205     20180703SC551  0005481152T000000000943000000000000000000000000000000000000000000000000094300000N
5082514282000371258508205     20180703SC551  0005491152T000000005052500000000000000000000000000000000000000000000000505250000N
5000090751124915ISENTO        20180703SC552  0080011201P000000000999000000000000000000000000000000000000000000000000099900000N
5000001954904959ISENTO        20180703SC552  0080031201P000000001198000000000000000000000000000000000000000000000000119800000N
5000036472010811ISENTO        20180703SC552  0080041201P000000000515000000000000000000000000000000000000000000000000051500000N
5025391849000164ISENTO        20180703SC552  0080025929P000000009685000000000000000000000000000000000000000000000000968500000N
5085116689000177ISENTO        20180703SC552  0080005929P000000001672000000000000000000000000000000000000000000000000167200000N
5082514282000371258508205     20180704SC551  0005511152T000000001898500000000000000000000000000000000000000000000000189850000N
5082514282000371258508205     20180704SC551  0005501152T000000010780000000000000000000000000000000000000000000000001078000000N
5000001184107920ISENTO        20180704SC552  0080061201P000000000590000000000000000000000000000000000000000000000000059000000N
5000003695251670ISENTO        20180704SC552  0080071201P000000000978000000000000000000000000000000000000000000000000097800000N
5000089715527000ISENTO        20180704SC552  0080081201P000000002598000000000000000000000000000000000000000000000000259800000N
5082514282000371258508205     20180705SC551  0005571152T000000006817500000000000000000000000000000000000000000000000681750000N
5082514282000371258508205     20180705SC551  0005561152T000000000752500000000000000000000000000000000000000000000000075250000N
5082514282000371258508205     20180705SC551  0005551152T000000000871500000000000000000000000000000000000000000000000087150000N
5000004805342927ISENTO        20180705SC552  0080091201P000000000459000000000000000000000000000000000000000000000000045900000N
5000006648649100ISENTO        20180705SC552  0080101201P000000000999000000000000000000000000000000000000000000000000099900000N
5082514282000290255918461     20180705SC552  0080055152P000000000193100000000000000000000000000000000000000000000000019311200N
5082514282000371258508205     20180706SC551  0005611152T000000016812000000000000000000000000000000000000000000000001681200000N
5082514282000290255918461     20180706SC552  0041541152T000000003448300000000000000000000000000000000000000000000000344830000N
5082514282000290255918461     20180706SC552  0041551152T000000001417400000000000000000000000000000000000000000000000141740000N
5000007520635961ISENTO        20180706SC552  0080111201P000000000419000000000000000000000000000000000000000000000000041900000N
5000089715527000ISENTO        20180706SC552  0080121201P000000002598000000000000000000000000000000000000000000000000259800000N
5000078080630968ISENTO        20180706SC552  0080131201P000000001285000000000000000000000000000000000000000000000000128500000N
5026526698000177ISENTO        20180706RS011  0003332102T000000003069000000000000000000000000000000000000000000000000306900000N
5027844178000175ISENTO        20180706SC552  0080145101P000000027684000000000000000000000000000000000000000000000002768401700N
5000082423415915ISENTO        20180707SC552  0080151201P000000001408000000000000000000000000000000000000000000000000140800000N
5000000693479990ISENTO        20180707SC552  0080161201P000000001699000000000000000000000000000000000000000000000000169900000N
5000000693479990ISENTO        20180707SC552  0080171201P000000001449000000000000000000000000000000000000000000000000144900000N
5082514282000290255918461     20180707SC552  0080185151P000000000808500000000000000000000000000000000000000000000000080851700N
5082514282000371258508205     20180709SC551  0005651152T000000001404500000000000000000000000000000000000000000000000140450000N
5082514282000290255918461     20180709SC552  0041581152T000000005246000000000000000000000000000000000000000000000000524600000N
5000071624635920ISENTO        20180709SC552  0080191201P000000000419000000000000000000000000000000000000000000000000041900000N
5082514282000290255918461     20180709SC552  0080205151P000000002918500000000000000000000000000000000000000000000000291851700N
5082514282000371258508205     20180710SC551  0005661152T000000002237500000000000000000000000000000000000000000000000223750000N
5000092158170000ISENTO        20180710SC552  0080231201P000000001899000000000000000000000000000000000000000000000000189900000N
5000081748736949ISENTO        20180710SC552  0080241201P000000000649000000000000000000000000000000000000000000000000064900000N
5082514282000290255918461     20180710SC552  0080225151P000000001429500000000000000000000000000000000000000000000000142951700N
5082514282000290255918461     20180710SC552  0080215152P000000000637500000000000000000000000000000000000000000000000063751700N
5001713297000103253483867     20180711SC552  0080255101P000000000092800000000000000000000000000000000000000000000000009281200N
5001713297000103253483867     20180711SC552  0080255101P000000000907200000000000000000000000000000000000000000000000090721700N
5082514282000290255918461     20180711SC552  0080265151P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000371258508205     20180712SC551  0005701152T000000007000000000000000000000000000000000000000000000000000700000000N
5082514282000371258508205     20180712SC551  0005711152T000000003115000000000000000000000000000000000000000000000000311500000N
5082514282000371258508205     20180712SC551  0005721152T000000000445000000000000000000000000000000000000000000000000044500000N
5000004746731977ISENTO        20180712SC552  0080281201P000000000599000000000000000000000000000000000000000000000000059900000N
5000024871516920ISENTO        20180712SC552  0080341201P000000000390000000000000000000000000000000000000000000000000039000000N
5000003013831979ISENTO        20180712SC552  0080351201P000000002199000000000000000000000000000000000000000000000000219900000N
5000039803563882ISENTO        20180712SC552  0080361201P000000001899000000000000000000000000000000000000000000000000189900000N
5019268141000118258222000     20180712SC552  0080295101P000000006886000000000000000000000000000000000000000000000000688601700N
5080485287000126ISENTO        20180712SC552  0080335101P000000000000000000000000000000000000000000000000000000000000000001700S
5082514282000290255918461     20180712SC552  0080275151P000000004428300000000000000000000000000000000000000000000000442831700N
5082514282000290255918461     20180712SC552  0080315151P000000001745000000000000000000000000000000000000000000000000174501700N
5082514282000290255918461     20180712SC552  0080305152P000000000698000000000000000000000000000000000000000000000000069801200N
