1082514282000100250234947     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48322491792019050120190531331
5082514282000290255918461     20190508SC552  0090035151P000000000597600000000000000000000000000000000000000000000000059761700N
5080673718000188ISENTO        20190508SC552  0089995929P000000000652600000000000000000000000000000000000000000000000065261700N
5080673718000188ISENTO        20190508SC552  0089995929P000000000243400000000000000000000000000000000000000000000000024341200N
5082514282000371258508205     20190509SC551  0014901152T000000007566000000000000000000000000000000000000000000000000756600000N
5027844178000175ISENTO        20190509SC552  0090055101P000000023632000000000000000000000000000000000000000000000002363201700N
5027844178000175ISENTO        20190509SC552  0090065101P000000004980000000000000000000000000000000000000000000000000498001700N
5082514282000290255918461     20190509SC552  0090075151P000000000449500000000000000000000000000000000000000000000000044951700N
5082514282000371258508205     20190510SC551  0014931152T000000017623300000000000000000000000000000000000000000000001762330000N
5000001983592927ISENTO        20190510SC552  0090091201P000000000587000000000000000000000000000000000000000000000000058700000N
5000001983592927ISENTO        20190510SC552  0090101201P000000001174000000000000000000000000000000000000000000000000117400000N
5000001864758961ISENTO        20190510SC552  0090121201P000000000360000000000000000000000000000000000000000000000000036000000N
5004323726000116ISENTO        20190510SC552  0090085101P000000030362000000000000000000000000000000000000000000000003036201700N
5082514282000371258508205     20190510SC552  0090115151P000000000840100000000000000000000000000000000000000000000000084011200N
5082514282000371258508205     20190510SC552  0090115151P000000001898100000000000000000000000000000000000000000000000189811700N
5082514282000371258508205     20190513SC551  0014991152T000000002160000000000000000000000000000000000000000000000000216000000N
5082514282000371258508205     20190513SC551  0014981152T000000015290700000000000000000000000000000000000000000000001529070000N
5000077686470920ISENTO        20190513SC552  0090131201P000000000514000000000000000000000000000000000000000000000000051400000N
5000077686470920ISENTO        20190513SC552  0090151201P000000000649000000000000000000000000000000000000000000000000064900000N
5000007507254941ISENTO        20190513SC552  0090161201P000000000875000000000000000000000000000000000000000000000000087500000N
5000081863020934ISENTO        20190513SC552  0090181201P000000000899000000000000000000000000000000000000000000000000089900000N
5000000845235907ISENTO        20190513SC552  0090191201P000000000499000000000000000000000000000000000000000000000000049900000N
5000054812437091ISENTO        20190513SC552  0090221201P000000001049000000000000000000000000000000000000000000000000104900000N
5082514282000371258508205     20190513SC552  0090145151P000000000200100000000000000000000000000000000000000000000000020011700N
5082514282000290255918461     20190513SC552  0090175151P000000000598500000000000000000000000000000000000000000000000059851700N
5082514282000290255918461     20190513SC552  0090215151P000000000384500000000000000000000000000000000000000000000000038451700N
5000008423341909ISENTO        20190513SC552  0090205929P000000001498000000000000000000000000000000000000000000000000149801200N
5000048182206987ISENTO        20190514SC552  0090231201P000000000619000000000000000000000000000000000000000000000000061900000N
5000067969283004ISENTO        20190514SC552  0090241201P000000000935000000000000000000000000000000000000000000000000093500000N
5000000967303907ISENTO        20190514SC552  0090261201P000000001156000000000000000000000000000000000000000000000000115600000N
5000091260418049ISENTO        20190514SC552  0090281201P000000000429000000000000000000000000000000000000000000000000042900000N
5000099003589020ISENTO        20190514SC552  0090291201P000000001599000000000000000000000000000000000000000000000000159900000N
5000000845873938ISENTO        20190514SC552  0090301201P000000001749000000000000000000000000000000000000000000000000174900000N
5000000704332914ISENTO        20190514SC552  0090271411P000000000369000000000000000000000000000000000000000000000000036900000N
5026526698000177ISENTO        20190514RS011  0520192102T000000004680000000000000000000000000000000000000000000000000468000000N
5082514282000290255918461     20190514SC552  0090315151P000000000294100000000000000000000000000000000000000000000000029411700N
5082514282000290255918461     20190514SC552  0090255152P000000003412300000000000000000000000000000000000000000000000341231200N
5082514282000290255918461     20190514SC552  0090255152P000000001229000000000000000000000000000000000000000000000000122901700N
5082514282000290255918461     20190515SC552  0051001152T000000003673000000000000000000000000000000000000000000000000367300000N
5082514282000371258508205     20190515SC551  0015051152T000000025131500000000000000000000000000000000000000000000002513150000N
5000090160576920ISENTO        20190515SC552  0090321201P000000001216000000000000000000000000000000000000000000000000121600000N
5000000429209908ISENTO        20190515SC552  0090331201P000000001627000000000000000000000000000000000000000000000000162700000N
5000003037276916ISENTO        20190515SC552  0090351201P000000000419000000000000000000000000000000000000000000000000041900000N
5000062915339953ISENTO        20190515SC552  0090361201P000000000545000000000000000000000000000000000000000000000000054500000N
5000001703077946ISENTO        20190515SC552  0090371201P000000001749000000000000000000000000000000000000000000000000174900000N
5000002930189606ISENTO        20190515SC552  0090381201P000000000849000000000000000000000000000000000000000000000000084900000N
5000057374368968ISENTO        20190515SC552  0090391201P000000000608000000000000000000000000000000000000000000000000060800000N
5000054886481949ISENTO        20190515SC552  0090401201P000000001798000000000000000000000000000000000000000000000000179800000N
5000091260418049ISENTO        20190515SC552  0090421201P000000000429000000000000000000000000000000000000000000000000042900000N
5000067969283004ISENTO        20190515SC552  0090431201P000000000978000000000000000000000000000000000000000000000000097800000N
5000052107418934ISENTO        20190515SC552  0090451201P000000001059000000000000000000000000000000000000000000000000105900000N
5000054808650053ISENTO        20190515SC552  0090461201P000000002344000000000000000000000000000000000000000000000000234400000N
5082514282000290255918461     20190515SC552  0090415151P000000001707000000000000000000000000000000000000000000000000170701700N
5082514282000290255918461     20190515SC552  0090345152P000000000363600000000000000000000000000000000000000000000000036361200N
5082514282000290255918461     20190515SC552  0090445152P000000000730000000000000000000000000000000000000000000000000073001200N
5082514282000371258508205     20190516SC551  0015131152T000000015479000000000000000000000000000000000000000000000001547900000N
5000004456808900ISENTO        20190516SC552  0090481201P000000000399000000000000000000000000000000000000000000000000039900000N
5000002412269963ISENTO        20190516SC552  0090491201P000000000499000000000000000000000000000000000000000000000000049900000N
5000004181266907ISENTO        20190516SC552  0090511201P000000000918000000000000000000000000000000000000000000000000091800000N
5000084492422900ISENTO        20190516SC552  0090521201P000000000929000000000000000000000000000000000000000000000000092900000N
5082514282000290255918461     20190516SC552  0090475151P000000000415200000000000000000000000000000000000000000000000041520000N
50805271040001989014036943    20190516PR552  0090506929P000000004022000000000000000000000000000000000000000000000000402201200N
5082514282000371258508205     20190517SC551  0015161152T000000022547000000000000000000000000000000000000000000000002254700000N
5082514282000290255918461     20190517SC552  0051111152T000000000660900000000000000000000000000000000000000000000000066090000N
5082514282000290255918461     20190517SC552  0051101152T000000004391300000000000000000000000000000000000000000000000439130000N
5082514282000371258508205     20190517SC551  0015081152T000000000390000000000000000000000000000000000000000000000000039000000N
5082514282000371258508205     20190517SC551  0015071152T000000003369000000000000000000000000000000000000000000000000336900000N
5000000735767947ISENTO        20190517SC552  0090571201P000000000719000000000000000000000000000000000000000000000000071900000N
5000010458791776ISENTO        20190517SC552  0090581201P000000000829000000000000000000000000000000000000000000000000082900000N
5000066059054900ISENTO        20190517SC552  0090591201P000000000829000000000000000000000000000000000000000000000000082900000N
5009209355000160255864167     20190517SC552  0090601201P000000001761000000000000000000000000000000000000000000000000176100000N
5000095102094904ISENTO        20190517SC552  0090611201P000000000759000000000000000000000000000000000000000000000000075900000N
5000098989073049ISENTO        20190517SC552  0090621201P000000000875000000000000000000000000000000000000000000000000087500000N
5000072999004915ISENTO        20190517SC552  0090631201P000000000969000000000000000000000000000000000000000000000000096900000N
5000005842723913ISENTO        20190517SC552  0090641201P000000000566000000000000000000000000000000000000000000000000056600000N
5082514282000290255918461     20190517SC552  0090535151P000000002297900000000000000000000000000000000000000000000000229791700N
5082514282000371258508205     20190517SC552  0090565151P000000002286900000000000000000000000000000000000000000000000228691700N
5082514282000290255918461     20190517SC552  0090545152P000000004201700000000000000000000000000000000000000000000000420171200N
5082514282000371258508205     20190517SC552  0090555152P000000000751000000000000000000000000000000000000000000000000075101200N
5000004363961902ISENTO        20190518SC552  0090661201P000000000569000000000000000000000000000000000000000000000000056900000N
5082514282000290255918461     20190518SC552  0090655151P000000001602500000000000000000000000000000000000000000000000160251700N
5082514282000290255918461     20190520SC552  0051211152T000000000437100000000000000000000000000000000000000000000000043710000N
5082514282000290255918461     20190520SC552  0051171152T000000000613200000000000000000000000000000000000000000000000061320000N
5082514282000371258508205     20190520SC551  0015211152T000000008998000000000000000000000000000000000000000000000000899800000N
5082514282000371258508205     20190520SC551  0015201152T000000026958500000000000000000000000000000000000000000000002695850000N
5082514282000371258508205     20190520SC551  0015151152T000000021816600000000000000000000000000000000000000000000002181660000N
5000095185674920ISENTO        20190520SC552  0090671201P000000000829000000000000000000000000000000000000000000000000082900000N
5000095185674920ISENTO        20190520SC552  0090681201P000000000829000000000000000000000000000000000000000000000000082900000N
5000001634226992ISENTO        20190520SC552  0090711201P000000000569000000000000000000000000000000000000000000000000056900000N
5000088833828972ISENTO        20190520SC552  0090731201P000000000619000000000000000000000000000000000000000000000000061900000N
5000037568639991ISENTO        20190520SC552  0090741201P000000000609000000000000000000000000000000000000000000000000060900000N
5000098430807187ISENTO        20190520SC552  0090771201P000000000079000000000000000000000000000000000000000000000000007900000N
5000080642705968ISENTO        20190520SC552  0090781201P000000000658000000000000000000000000000000000000000000000000065800000N
5000000004712919ISENTO        20190520SC552  0090801201P000000000449000000000000000000000000000000000000000000000000044900000N
5026526698000177ISENTO        20190520RS011  0520192102T000000001670000000000000000000000000000000000000000000000000167000000N
5082514282000290255918461     20190520SC552  0090795151P000000000184500000000000000000000000000000000000000000000000018451700N
5082514282000371258508205     20190520SC552  0090705151P000000000248700000000000000000000000000000000000000000000000024871700N
5082514282000290255918461     20190520SC552  0090765152P000000000726300000000000000000000000000000000000000000000000072631200N
5082514282000371258508205     20190520SC552  0090695152P000000000232300000000000000000000000000000000000000000000000023231200N
5082514282000371258508205     20190520SC552  0090725152P000000001183500000000000000000000000000000000000000000000000118351700N
5082514282000290255918461     20190520SC552  0090755152P000000000395000000000000000000000000000000000000000000000000039501200N
5082514282000371258508205     20190521SC551  0015311152T000000004434000000000000000000000000000000000000000000000000443400000N
