1082514282000290255918461     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48302832822019120120191231331
11RUA NERY CARDOSO BITTENCOURT      00001                      SANTA MONICA   88035100NOME DO CONTADOR            004830283282
5082514282000100250234947     20191202SC552  0098271152T000000000169500000000000000000000000000000000000000000000000016950000N
5082514282000371258508205     20191202SC551  0021321152T000000010393600000000000000000000000000000000000000000000001039360000N
5082514282000371258508205     20191202SC551  0021281152T000000014893900000000000000000000000000000000000000000000001489390000N
5082514282000100250234947     20191202SC552  0097511152T000000000494700000000000000000000000000000000000000000000000049470000N
5082514282000371258508205     20191202SC551  0020751152T000000007283700000000000000000000000000000000000000000000000728370000N
5082514282000100250234947     20191202SC552  0097921152T000000001460000000000000000000000000000000000000000000000000146000000N
5082514282000371258508205     20191202SC551  0021161152T000000000680000000000000000000000000000000000000000000000000068000000N
5082514282000100250234947     20191202SC552  0098091152T000000000477200000000000000000000000000000000000000000000000047720000N
5082514282000100250234947     20191202SC552  0098201152T000000000389000000000000000000000000000000000000000000000000038900000N
5000011569218722ISENTO        20191202SC552  0057661201P000000002511000000000000000000000000000000000000000000000000251100000N
5000000159882958ISENTO        20191202SC552  0057681201P000000002398000000000000000000000000000000000000000000000000239800000N
5082514282000100250234947     20191202SC552  0057635151P000000000193000000000000000000000000000000000000000000000000019301700N
5082514282000100250234947     20191202SC552  0057645151P000000000584100000000000000000000000000000000000000000000000058411700N
5082514282000100250234947     20191202SC552  0057655151P000000001054300000000000000000000000000000000000000000000000105431700N
5082514282000100250234947     20191202SC552  0057675151P000000009955000000000000000000000000000000000000000000000000995501700N
5002115825000187253578035     20191202SC552  0057625929P000000001733700000000000000000000000000000000000000000000000173371200N
5002115825000187253578035     20191202SC552  0057625929P000000000826500000000000000000000000000000000000000000000000082651700N
5082514282000100250234947     20191203SC552  0098411152T000000000683600000000000000000000000000000000000000000000000068360000N
5082514282000371258508205     20191203SC551  0021361152T000000011626300000000000000000000000000000000000000000000001162630000N
5082514282000371258508205     20191203SC551  0021391152T000000000360000000000000000000000000000000000000000000000000036000000N
5000030033317879ISENTO        20191203SC552  0057735101P000000000419000000000000000000000000000000000000000000000000041901700N
5001693513000198ISENTO        20191203SC552  0057725101P000000002080000000000000000000000000000000000000000000000000208001200N
5082514282000371258508205     20191203SC552  0057695151P000000000681200000000000000000000000000000000000000000000000068121700N
5082514282000371258508205     20191203SC552  0057705151P000000003003000000000000000000000000000000000000000000000000300301700N
5082514282000100250234947     20191203SC552  0057715152P000000001149300000000000000000000000000000000000000000000000114931200N
5082514282000371258508205     20191204SC551  0021431152T000000009692100000000000000000000000000000000000000000000000969210000N
5082514282000100250234947     20191204SC552  0098401152T000000001168100000000000000000000000000000000000000000000000116810000N
5082514282000100250234947     20191204SC552  0098461152T000000001133500000000000000000000000000000000000000000000000113350000N
5082514282000371258508205     20191204SC551  0021301152T000000001377000000000000000000000000000000000000000000000000137700000N
5082514282000371258508205     20191204SC551  0021311152T000000000255000000000000000000000000000000000000000000000000025500000N
5000003071692943ISENTO        20191204SC552  0057741201P000000000369000000000000000000000000000000000000000000000000036900000N
5000003816965962ISENTO        20191204SC552  0057771201P000000001317000000000000000000000000000000000000000000000000131700000N
5032018829000108ISENTO        20191204SC552  0057765101P000000002754000000000000000000000000000000000000000000000000275401700N
